datetime,direct.bid,direct.ask
2015-01-02 15:11:13,108.76,108.77
2015-01-02 15:11:14,108.76,108.76
2015-01-02 15:11:15,108.75,108.77
2015-01-02 15:11:16,108.75,108.77
2015-01-02 15:11:17,108.74,108.75
2015-01-02 15:11:18,108.71,108.72
2015-01-02 15:11:19,108.72,108.73
2015-01-02 15:11:20,108.72,108.73
2015-01-02 15:11:21,108.74,108.75
2015-01-02 15:11:22,108.74,108.75
2015-01-02 15:11:23,108.76,108.77
2015-01-02 15:11:24,108.76,108.77
2015-01-02 15:11:25,108.76,108.77
2015-01-02 15:11:26,108.76,108.77
2015-01-02 15:11:27,108.77,108.78
2015-01-02 15:11:28,108.78,108.79
2015-01-02 15:11:29,108.78,108.79
2015-01-02 15:11:30,108.82,108.83
2015-01-02 15:11:31,108.82,108.83
2015-01-02 15:11:32,108.81,108.82
2015-01-02 15:11:33,108.81,108.82
2015-01-02 15:11:34,108.82,108.83
2015-01-02 15:11:35,108.81,108.82
2015-01-02 15:11:36,108.8,108.81
2015-01-02 15:11:37,108.79,108.8
2015-01-02 15:11:38,108.79,108.8
2015-01-02 15:11:39,108.8,108.81
2015-01-02 15:11:40,108.8,108.81
2015-01-02 15:11:41,108.81,108.82
2015-01-02 15:11:42,108.81,108.82
2015-01-02 15:11:43,108.81,108.82
2015-01-02 15:11:44,108.82,108.83
2015-01-02 15:11:45,108.82,108.83
2015-01-02 15:11:46,108.81,108.82
2015-01-02 15:11:47,108.83,108.84
2015-01-02 15:11:48,108.83,108.85
2015-01-02 15:11:49,108.81,108.82
2015-01-02 15:11:50,108.79,108.8
2015-01-02 15:11:51,108.79,108.8
2015-01-02 15:11:52,108.8,108.81
2015-01-02 15:11:53,108.8,108.81
2015-01-02 15:11:54,108.8,108.81
2015-01-02 15:11:55,108.8,108.82
2015-01-02 15:11:56,108.8,108.81
2015-01-02 15:11:57,108.8,108.81
2015-01-02 15:11:58,108.79,108.8
2015-01-02 15:11:59,108.77,108.79
2015-01-02 15:12:00,108.79,108.8
2015-01-02 15:12:01,108.79,108.8
2015-01-02 15:12:02,108.78,108.8
2015-01-02 15:12:03,108.79,108.8
2015-01-02 15:12:04,108.79,108.8
2015-01-02 15:12:05,108.79,108.8
2015-01-02 15:12:06,108.79,108.8
2015-01-02 15:12:07,108.79,108.8
2015-01-02 15:12:08,108.79,108.8
2015-01-02 15:12:09,108.77,108.78
2015-01-02 15:12:10,108.77,108.78
2015-01-02 15:12:11,108.77,108.78
2015-01-02 15:12:12,108.77,108.78
2015-01-02 15:12:13,108.76,108.77
2015-01-02 15:12:14,108.76,108.77
2015-01-02 15:12:15,108.76,108.77
2015-01-02 15:12:16,108.76,108.77
2015-01-02 15:12:17,108.75,108.76
2015-01-02 15:12:18,108.74,108.75
2015-01-02 15:12:19,108.74,108.76
2015-01-02 15:12:20,108.73,108.74
2015-01-02 15:12:21,108.73,108.74
2015-01-02 15:12:22,108.72,108.73
2015-01-02 15:12:23,108.7,108.71
2015-01-02 15:12:24,108.7,108.71
2015-01-02 15:12:25,108.69,108.7
2015-01-02 15:12:26,108.71,108.72
2015-01-02 15:12:27,108.71,108.72
2015-01-02 15:12:28,108.71,108.72
2015-01-02 15:12:29,108.72,108.73
2015-01-02 15:12:30,108.72,108.73
2015-01-02 15:12:31,108.72,108.73
2015-01-02 15:12:32,108.7,108.71
2015-01-02 15:12:33,108.72,108.73
2015-01-02 15:12:34,108.73,108.74
2015-01-02 15:12:35,108.71,108.72
2015-01-02 15:12:36,108.71,108.72
2015-01-02 15:12:37,108.72,108.73
2015-01-02 15:12:38,108.72,108.73
2015-01-02 15:12:39,108.73,108.75
2015-01-02 15:12:40,108.75,108.76
2015-01-02 15:12:41,108.75,108.76
2015-01-02 15:12:42,108.76,108.77
2015-01-02 15:12:43,108.79,108.8
2015-01-02 15:12:44,108.79,108.8
2015-01-02 15:12:45,108.8,108.81
2015-01-02 15:12:46,108.8,108.81
2015-01-02 15:12:47,108.8,108.82
2015-01-02 15:12:48,108.82,108.83
2015-01-02 15:12:49,108.82,108.83
2015-01-02 15:12:50,108.82,108.83
2015-01-02 15:12:51,108.82,108.83
2015-01-02 15:12:52,108.83,108.85
2015-01-02 15:12:53,108.84,108.85
2015-01-02 15:12:54,108.84,108.85
